187;-532566;-607055;-567441;-554660
188;-532566;-589513;-559361;-553598
189;-532566;-648807;-564297;-552049
190;-532566;-613948;-564900;-548881
191;-532566;-606569;-559084;-540899
192;-532566;-615362;-557988;-541059
193;-532566;-578070;-564267;-551085
194;-532566;-579033;-560770;-543161
195;-532566;-697746;-564476;-544789
196;-532566;-589393;-564751;-544789
197;-532566;-610858;-562305;-539721
198;-532566;-575771;-558485;-544789
199;-532566;-561062;-560148;-549249
200;-532566;-621102;-565822;-544866
201;-532566;-605275;-557174;-539998
202;-532566;-616649;-553020;-547438
203;-532566;-573339;-557723;-544499
204;-532566;-641328;-557201;-546835
205;-532566;-567041;-563579;-539895
206;-532566;-586312;-561138;-542433
207;-530068;-620321;-550276;-530068
208;-513334;-578962;-556454;-513334
209;-513334;-618081;-565684;-538287
210;-513334;-605260;-555822;-533640
211;-513334;-567687;-556296;-533640
212;-513334;-607038;-547363;-527181
213;-513334;-612197;-542473;-523697
214;-513334;-632236;-552538;-520388
215;-513334;-614922;-546661;-523697
216;-513334;-568080;-547551;-522507
217;-513334;-565813;-545887;-523697
218;-513334;-567571;-551262;-519981
219;-513334;-555083;-536558;-516318
220;-513334;-591997;-531428;-517897
221;-492553;-573306;-527350;-492553
222;-492553;-563731;-523040;-513761
223;-492553;-556836;-526255;-517361
224;-492553;-622188;-526369;-514410
225;-492553;-597531;-520132;-515165
226;-492553;-570079;-529905;-503048
227;-492553;-607181;-517286;-503048
228;-492553;-559158;-522708;-503048
229;-492553;-581832;-524578;-499159
230;-492553;-545002;-519637;-503048
231;-492553;-559412;-516199;-503048
232;-492553;-559971;-512363;-500121
233;-492553;-534604;-514349;-504006
234;-492553;-546111;-522610;-499177
235;-492553;-598386;-518281;-496530
236;-492553;-532945;-516103;-502860
237;-475818;-544607;-507965;-475818
238;-475818;-528273;-508532;-497353
239;-475818;-574638;-516464;-502061
240;-475818;-536983;-506281;-483433
241;-475818;-503834;-507369;-494947
242;-475818;-535009;-511156;-490417
243;-475818;-543566;-505725;-484870
244;-475818;-555176;-497990;-487907
245;-475818;-585881;-508967;-490279
246;-475818;-554322;-501464;-488374
247;-475818;-518236;-503522;-484049
248;-475818;-538223;-502451;-482996
249;-475818;-530264;-510500;-484885
250;-475818;-539798;-506646;-484885
251;-475818;-534828;-503950;-481039
252;-475818;-517907;-502039;-489218
253;-475818;-537713;-500916;-487769
254;-475818;-524711;-498090;-479715
255;-475818;-525203;-496428;-488030
256;-475818;-538111;-496857;-485950
257;-475818;-561707;-494160;-487712
258;-475818;-543837;-499503;-479216
259;-475818;-574764;-499036;-482178
260;-475818;-527570;-496571;-485074
261;-475818;-507406;-506539;-479764
262;-475818;-514958;-498320;-480797
263;-475818;-510850;-494670;-478803
264;-475818;-514140;-488244;-483005
265;-468606;-543258;-488542;-468606
266;-468606;-521363;-489325;-468606
267;-468606;-566540;-497398;-468606
268;-462408;-507936;-485617;-462408
269;-462408;-519224;-492770;-462408
