Iterations;Overall best;Worst;Average;Best
267;-756049;-823776;-760383;-756049
268;-752576;-879309;-760511;-752576
269;-750238;-932348;-759734;-750238
270;-749763;-834138;-753860;-749763
271;-747150;-914610;-752564;-747150
272;-745458;-896645;-752898;-745458
273;-741399;-867202;-751866;-741399
274;-739006;-942948;-750641;-739006
275;-737065;-850492;-747474;-737065
276;-734995;-834293;-742986;-734995
277;-734201;-819549;-743413;-734201
278;-732831;-864651;-739976;-732831
279;-730674;-832530;-740174;-730674
280;-724163;-837247;-738895;-724163
281;-723186;-874439;-736444;-723186
282;-722614;-819640;-726017;-722614
283;-721712;-803124;-726689;-721712
284;-719997;-820048;-727587;-719997
285;-717563;-814908;-727500;-717563
286;-711925;-850670;-724780;-711925
287;-709735;-851343;-720768;-709735
288;-708542;-820174;-716080;-708542
289;-708251;-839642;-713107;-708251
290;-706141;-771744;-711244;-706141
291;-704623;-805250;-713213;-704623
292;-699056;-808511;-711876;-699056
293;-696536;-839892;-707485;-696536
294;-689261;-777008;-702989;-689261
295;-683170;-821450;-696690;-683170
296;-675622;-765554;-691289;-675622
297;-668807;-825064;-685905;-668807
298;-662713;-819266;-676776;-662713
299;-661590;-778196;-669223;-661590
300;-660700;-792239;-667241;-660700
301;-658247;-801451;-665462;-658247
302;-657514;-798366;-664140;-657514
303;-656627;-813305;-660915;-656627
304;-655969;-829586;-660423;-655969
305;-643921;-765371;-658958;-643921
306;-643159;-764675;-658312;-643159
307;-641324;-741468;-645904;-641324
308;-640806;-769271;-645645;-640806
309;-640519;-742569;-644149;-640519
310;-638779;-788721;-643949;-638779
311;-637974;-735250;-644066;-637974
312;-637974;-760861;-641778;-637974
313;-637974;-726354;-639701;-637974
314;-637974;-723869;-639997;-637974
315;-637513;-752353;-640058;-637513
316;-636963;-779142;-640694;-636963
317;-635716;-757584;-641920;-635716
318;-635156;-738180;-640649;-635156
319;-634329;-784511;-639630;-634329
320;-630892;-727020;-639130;-630892
321;-629208;-793917;-639232;-629208
322;-628996;-778135;-635235;-628996
323;-628798;-715452;-631412;-628798
324;-628078;-787781;-631317;-628078
325;-627224;-796861;-631405;-627224
326;-626210;-711593;-630969;-626210
327;-624673;-798710;-631867;-624673
328;-624377;-734793;-630220;-624377
329;-621835;-722824;-628829;-621835
330;-621696;-804684;-626901;-621696
331;-621357;-713223;-624524;-621357
332;-621218;-781826;-624324;-621218
333;-621218;-730146;-623514;-621218
334;-620104;-749508;-623798;-620104
335;-620104;-738394;-623441;-620104
336;-620104;-736089;-621938;-620104
337;-619593;-719708;-622340;-619593
338;-618892;-760661;-622495;-618892
339;-618211;-757099;-622359;-618211
340;-617753;-806471;-622345;-617753
341;-614890;-718991;-621508;-614890
342;-614030;-724046;-621289;-614030
343;-613493;-721978;-617081;-613493
344;-613493;-710844;-615779;-613493
345;-613493;-736609;-615809;-613493
346;-612796;-727230;-615915;-612796
347;-612796;-788739;-615667;-612796
348;-612183;-781126;-615427;-612183
349;-611731;-689278;-615247;-611731
350;-611731;-708463;-614597;-611731
351;-611731;-719613;-613739;-611731
352;-611128;-698666;-614190;-611128
353;-607461;-810051;-614575;-607461
354;-607461;-798788;-613978;-607461
355;-604916;-698054;-609746;-604916
356;-603789;-741891;-609920;-603789
